date,frequency,keyword
2014-01-29,0,BYOB
2014-01-30,1,BYOB
2014-01-31,1,BYOB
2014-01-01,0,Mac
2014-01-02,1,Mac
2014-01-03,0,Mac
2014-01-04,1,Mac
2014-01-05,0,Mac
2014-01-06,1,Mac
2014-01-07,0,Mac
2014-01-08,0,Mac
2014-01-09,2,Mac
2014-01-10,0,Mac
2014-01-11,2,Mac
2014-01-12,0,Mac
2014-01-13,0,Mac
2014-01-14,0,Mac
2014-01-15,0,Mac
2014-01-16,1,Mac
2014-01-17,2,Mac
2014-01-18,2,Mac
2014-01-19,0,Mac
2014-01-20,0,Mac
2014-01-21,1,Mac
2014-01-22,1,Mac
2014-01-23,0,Mac
2014-01-24,1,Mac
2014-01-25,0,Mac
2014-01-26,2,Mac
2014-01-27,0,Mac
2014-01-28,0,Mac
2014-01-29,1,Mac
2014-01-30,0,Mac
2014-01-31,0,Mac
2014-01-01,0,Delicious
2014-01-02,0,Delicious
2014-01-03,0,Delicious
2014-01-04,1,Delicious
2014-01-05,0,Delicious
2014-01-06,1,Delicious
2014-01-07,1,Delicious
2014-01-08,1,Delicious
2014-01-09,0,Delicious
2014-01-10,0,Delicious
2014-01-11,2,Delicious
2014-01-12,1,Delicious
2014-01-13,2,Delicious
2014-01-14,0,Delicious
2014-01-15,0,Delicious
2014-01-16,0,Delicious
2014-01-17,0,Delicious
2014-01-18,1,Delicious
2014-01-19,1,Delicious
2014-01-20,0,Delicious
2014-01-21,4,Delicious
2014-01-22,3,Delicious
2014-01-23,0,Delicious
2014-01-24,0,Delicious
2014-01-25,2,Delicious
2014-01-26,0,Delicious
2014-01-27,0,Delicious
2014-01-28,1,Delicious
2014-01-29,0,Delicious
2014-01-30,0,Delicious
2014-01-31,1,Delicious
2014-01-01,1,Pizza
2014-01-02,0,Pizza
2014-01-03,1,Pizza
2014-01-04,2,Pizza
2014-01-05,2,Pizza
2014-01-06,1,Pizza
2014-01-07,0,Pizza
2014-01-08,1,Pizza
2014-01-09,1,Pizza
2014-01-10,0,Pizza
2014-01-11,0,Pizza
2014-01-12,0,Pizza
2014-01-13,0,Pizza
2014-01-14,0,Pizza
2014-01-15,0,Pizza
2014-01-16,0,Pizza
2014-01-17,0,Pizza
2014-01-18,0,Pizza
2014-01-19,0,Pizza
2014-01-20,0,Pizza
2014-01-21,1,Pizza
2014-01-22,2,Pizza
2014-01-23,1,Pizza
2014-01-24,0,Pizza
2014-01-25,0,Pizza
2014-01-26,2,Pizza
2014-01-27,1,Pizza
2014-01-28,1,Pizza
2014-01-29,3,Pizza
2014-01-30,0,Pizza
2014-01-31,0,Pizza
2014-01-01,4,Great
2014-01-02,0,Great
2014-01-03,0,Great
2014-01-04,0,Great
2014-01-05,2,Great
2014-01-06,2,Great
2014-01-07,0,Great
2014-01-08,1,Great
2014-01-09,0,Great
2014-01-10,0,Great
2014-01-11,1,Great
2014-01-12,3,Great
2014-01-13,0,Great
2014-01-14,0,Great
2014-01-15,0,Great
2014-01-16,0,Great
2014-01-17,1,Great
2014-01-18,0,Great
2014-01-19,1,Great
2014-01-20,0,Great
2014-01-21,2,Great
2014-01-22,0,Great
2014-01-23,1,Great
2014-01-24,0,Great
2014-01-25,1,Great
2014-01-26,0,Great
2014-01-27,0,Great
2014-01-28,1,Great
2014-01-29,0,Great
2014-01-30,1,Great
2014-01-31,0,Great
2014-01-01,0,PAd
2014-01-02,0,PAd
2014-01-03,0,PAd
2014-01-04,0,PAd
2014-01-05,0,PAd
2014-01-06,0,PAd
2014-01-07,0,PAd
2014-01-08,0,PAd
2014-01-09,0,PAd
2014-01-10,0,PAd
2014-01-11,0,PAd
2014-01-12,0,PAd
2014-01-13,0,PAd
2014-01-14,0,PAd
2014-01-15,0,PAd
2014-01-16,0,PAd
2014-01-17,0,PAd
2014-01-18,0,PAd
2014-01-19,0,PAd
2014-01-20,0,PAd
2014-01-21,0,PAd
2014-01-22,0,PAd
2014-01-23,0,PAd
2014-01-24,0,PAd
2014-01-25,0,PAd
2014-01-26,0,PAd
2014-01-27,0,PAd
2014-01-28,0,PAd
2014-01-29,0,PAd
2014-01-30,0,PAd
2014-01-31,0,PAd
2014-01-01,1,Cheese
2014-01-02,1,Cheese
2014-01-03,0,Cheese
2014-01-04,1,Cheese
2014-01-05,0,Cheese
2014-01-06,1,Cheese
2014-01-07,0,Cheese
2014-01-08,0,Cheese
2014-01-09,0,Cheese
2014-01-10,0,Cheese
2014-01-11,0,Cheese
2014-01-12,1,Cheese
2014-01-13,0,Cheese
2014-01-14,0,Cheese
2014-01-15,0,Cheese
2014-01-16,0,Cheese
2014-01-17,2,Cheese
2014-01-18,1,Cheese
2014-01-19,1,Cheese
2014-01-20,0,Cheese
2014-01-21,0,Cheese
2014-01-22,1,Cheese
2014-01-23,0,Cheese
2014-01-24,1,Cheese
2014-01-25,1,Cheese
2014-01-26,0,Cheese
2014-01-27,0,Cheese
2014-01-28,2,Cheese
2014-01-29,1,Cheese
2014-01-30,0,Cheese
2014-01-31,0,Cheese
2014-01-01,3,Meat
2014-01-02,0,Meat
2014-01-03,1,Meat
2014-01-04,0,Meat
2014-01-05,0,Meat
2014-01-06,1,Meat
2014-01-07,0,Meat
2014-01-08,0,Meat
2014-01-09,0,Meat
2014-01-10,0,Meat
2014-01-11,2,Meat
2014-01-12,0,Meat
2014-01-13,0,Meat
2014-01-14,0,Meat
2014-01-15,2,Meat
2014-01-16,0,Meat
2014-01-17,0,Meat
2014-01-18,0,Meat
2014-01-19,1,Meat
2014-01-20,0,Meat
2014-01-21,1,Meat
2014-01-22,1,Meat
2014-01-23,0,Meat
2014-01-24,0,Meat
2014-01-25,0,Meat
2014-01-26,2,Meat
2014-01-27,0,Meat
2014-01-28,0,Meat
2014-01-29,0,Meat
2014-01-30,0,Meat
2014-01-31,0,Meat
2014-01-01,0,Cafe
2014-01-02,0,Cafe
2014-01-03,0,Cafe
2014-01-04,0,Cafe
2014-01-05,1,Cafe
2014-01-06,0,Cafe
2014-01-07,0,Cafe
2014-01-08,0,Cafe
2014-01-09,0,Cafe
2014-01-10,1,Cafe
2014-01-11,0,Cafe
2014-01-12,0,Cafe
2014-01-13,0,Cafe
2014-01-14,0,Cafe
2014-01-15,0,Cafe
2014-01-16,0,Cafe
2014-01-17,2,Cafe
2014-01-18,0,Cafe
2014-01-19,0,Cafe
2014-01-20,1,Cafe
2014-01-21,1,Cafe
2014-01-22,0,Cafe
2014-01-23,1,Cafe
2014-01-24,0,Cafe
2014-01-25,0,Cafe
2014-01-26,0,Cafe
2014-01-27,1,Cafe
2014-01-28,0,Cafe
2014-01-29,1,Cafe
2014-01-30,1,Cafe
2014-01-31,0,Cafe
2014-01-01,0,Valentines
2014-01-02,0,Valentines
2014-01-03,0,Valentines
2014-01-04,0,Valentines
2014-01-05,0,Valentines
2014-01-06,0,Valentines
2014-01-07,0,Valentines
2014-01-08,0,Valentines
2014-01-09,0,Valentines
2014-01-10,0,Valentines
2014-01-11,0,Valentines
2014-01-12,0,Valentines
2014-01-13,0,Valentines
2014-01-14,0,Valentines
2014-01-15,0,Valentines
2014-01-16,0,Valentines
2014-01-17,0,Valentines
2014-01-18,0,Valentines
2014-01-19,0,Valentines
2014-01-20,0,Valentines
2014-01-21,0,Valentines
2014-01-22,0,Valentines
2014-01-23,0,Valentines
2014-01-24,0,Valentines
2014-01-25,0,Valentines
2014-01-26,0,Valentines
2014-01-27,0,Valentines
2014-01-28,0,Valentines
2014-01-29,0,Valentines
2014-01-30,0,Valentines
2014-01-31,0,Valentines
2014-01-01,2,Oakland
2014-01-02,0,Oakland
2014-01-03,0,Oakland
2014-01-04,0,Oakland
2014-01-05,0,Oakland
2014-01-06,0,Oakland
2014-01-07,0,Oakland
2014-01-08,0,Oakland
2014-01-09,0,Oakland
2014-01-10,0,Oakland
2014-01-11,0,Oakland
2014-01-12,0,Oakland
2014-01-13,0,Oakland
2014-01-14,0,Oakland
2014-01-15,0,Oakland
2014-01-16,0,Oakland
2014-01-17,0,Oakland
2014-01-18,0,Oakland
2014-01-19,0,Oakland
2014-01-20,0,Oakland
2014-01-21,0,Oakland
2014-01-22,0,Oakland
2014-01-23,0,Oakland
2014-01-24,0,Oakland
2014-01-25,0,Oakland
2014-01-26,1,Oakland
2014-01-27,1,Oakland
2014-01-28,1,Oakland
2014-01-29,0,Oakland
2014-01-30,1,Oakland
2014-01-31,0,Oakland
2014-01-01,0,Chicken
2014-01-02,0,Chicken
2014-01-03,0,Chicken
2014-01-04,0,Chicken
2014-01-05,1,Chicken
2014-01-06,0,Chicken
2014-01-07,0,Chicken
2014-01-08,1,Chicken
2014-01-09,1,Chicken
2014-01-10,0,Chicken
2014-01-11,0,Chicken
2014-01-12,2,Chicken
2014-01-13,0,Chicken
2014-01-14,0,Chicken
2014-01-15,0,Chicken
2014-01-16,0,Chicken
2014-01-17,1,Chicken
2014-01-18,0,Chicken
2014-01-19,0,Chicken
2014-01-20,0,Chicken
2014-01-21,0,Chicken
2014-01-22,3,Chicken
2014-01-23,0,Chicken
2014-01-24,0,Chicken
2014-01-25,1,Chicken
2014-01-26,1,Chicken
2014-01-27,0,Chicken
2014-01-28,0,Chicken
2014-01-29,3,Chicken
2014-01-30,0,Chicken
2014-01-31,0,Chicken
2014-01-01,0,Square
2014-01-02,0,Square
2014-01-03,0,Square
2014-01-04,1,Square
2014-01-05,0,Square
2014-01-06,2,Square
2014-01-07,0,Square
2014-01-08,0,Square
2014-01-09,0,Square
2014-01-10,0,Square
2014-01-11,0,Square
2014-01-12,0,Square
2014-01-13,0,Square
2014-01-14,1,Square
2014-01-15,0,Square
2014-01-16,0,Square
2014-01-17,0,Square
2014-01-18,0,Square
2014-01-19,1,Square
2014-01-20,1,Square
2014-01-21,0,Square
2014-01-22,0,Square
2014-01-23,0,Square
2014-01-24,1,Square
2014-01-25,0,Square
2014-01-26,0,Square
2014-01-27,1,Square
2014-01-28,0,Square
2014-01-29,0,Square
2014-01-30,0,Square
2014-01-31,0,Square
2014-01-01,0,Shadyside
2014-01-02,0,Shadyside
2014-01-03,0,Shadyside
2014-01-04,0,Shadyside
